"timestamp","type.name","team.name","player.name","play_pattern.name"
"00:15:56.129","Ball Receipt*","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:56.129","Carry","Australia","Aziz Eraltay Behich","From Throw In"
"00:15:56.209","Pressure","France","Kylian Mbappé Lottin","From Throw In"
"00:16:00.436","Pass","Australia","Aziz Eraltay Behich","From Throw In"
"00:16:01.409","Ball Receipt*","Australia","Robbie Kruse","From Throw In"
"00:16:01.409","Carry","Australia","Robbie Kruse","From Throw In"
"00:16:02.289","Foul Committed","France","Benjamin Pavard","From Throw In"
"00:16:02.289","Foul Won","Australia","Robbie Kruse","From Throw In"
"00:16:41.849","Pass","Australia","Aaron Mooy","From Free Kick"
"00:16:43.155","Ball Receipt*","Australia","Mathew Leckie","From Free Kick"
"00:16:43.156","Shot","Australia","Mathew Leckie","From Free Kick"
"00:16:43.636","Block","France","Corentin Tolisso","From Free Kick"
"00:16:44.316","Goal Keeper","France","Hugo Lloris","From Free Kick"
"00:17:29.409","Pass","Australia","Aaron Mooy","From Corner"
"00:17:31.516","Clearance","France","N''Golo Kanté","From Corner"
"00:17:32.849","Pass","Australia","Trent Sainsbury","From Corner"
"00:17:35.236","Ball Receipt*","Australia","Mile Jedinak","From Corner"
"00:17:35.236","Foul Committed","Australia","Robbie Kruse","From Corner"
"00:17:35.236","Foul Won","France","Raphaël Varane","From Corner"
"00:17:56.956","Camera On","France",NA,"Regular Play"
"00:17:57.876","Pass","France","Raphaël Varane","Regular Play"
"00:18:00.688","Ball Receipt*","France","Samuel Yves Umtiti","Regular Play"
"00:18:00.688","Carry","France","Samuel Yves Umtiti","Regular Play"
"00:18:01.769","Pass","France","Samuel Yves Umtiti","Regular Play"
"00:18:03.049","Pressure","Australia","Mile Jedinak","Regular Play"
"00:18:03.088","Ball Receipt*","France","Ousmane Dembélé","Regular Play"
"00:18:03.088","Carry","France","Ousmane Dembélé","Regular Play"
"00:18:04.116","Miscontrol","France","Ousmane Dembélé","Regular Play"
"00:18:05.689","Ball Recovery","Australia","Aaron Mooy","Regular Play"
"00:18:05.689","Carry","Australia","Aaron Mooy","Regular Play"
"00:18:06.369","Pass","Australia","Aaron Mooy","Regular Play"
"00:18:08.569","Pressure","France","Ousmane Dembélé","Regular Play"
"00:18:08.769","Ball Receipt*","Australia","Josh Risdon","Regular Play"
"00:18:08.769","Pass","Australia","Josh Risdon","Regular Play"
"00:18:10.729","Ball Receipt*","Australia","Andrew Nabbout","Regular Play"
"00:18:10.729","Pass","Australia","Andrew Nabbout","Regular Play"
"00:18:12.449","Ball Receipt*","Australia","Mathew Leckie","Regular Play"
"00:18:12.449","Carry","Australia","Mathew Leckie","Regular Play"
"00:18:14.409","Pressure","France","Lucas Hernández Pi","Regular Play"
"00:18:15.889","Pass","Australia","Mathew Leckie","Regular Play"
"00:18:16.689","Ball Receipt*","Australia","Aaron Mooy","Regular Play"
